"year","region","sc_name","total_HC_m"
2013,"II","Epigonus crassicaudus",0
2013,"II","Ethmidium maculatum",0
2013,"II","Fissurella latimarginata",505
2013,"II","Galaxias maculatus",0
2013,"II","Gari solida",0
2013,"II","Genypterus blacodes",0
2013,"II","Genypterus chilensis",0
2013,"II","Genypterus maculatus",0
2013,"II","Haliotis discus hannai",0
2013,"II","Haliotis rufescens",0
2013,"II","Haliporoides diomedeae",0
2013,"II","Helicolenus lengerichi",0
2013,"II","Heterocarpus reedi",0
2013,"II","Homalaspis plana",0
2013,"II","Isurus oxyrinchus",0
2013,"II","Lithodes santolla",0
2013,"II","Loxechinus albus",3
2013,"II","Macruronus magellanicus",0
2013,"II","Merluccius australis",0
2013,"II","Merluccius gayi gayi",0
2013,"II","Mesodesma donacium",0
2013,"II","Micromesistius australis",0
2013,"II","Mulinia edulis",0
2013,"II","Mustelus mento",0
2013,"II","Mytilus chilensis",0
2013,"II","Octopus (vulgaris) mimus",962
2013,"II","Odontesthes regia",0
2013,"II","Oncorhynchus kisutch",0
2013,"II","Oncorhynchus mykiss",0
2013,"II","Oncorhynchus tshawytscha",0
2013,"II","Ophichthus spp.",0
2013,"II","Ovalipes trimaculatus",0
2013,"II","Paralabrax humeralis",0
2013,"II","Paralomis granulosa",0
2013,"II","Pinguipes chilensis",0
2013,"II","Pleuroncodes monodon",0
2013,"II","Prionace glauca",0
2013,"II","Prolatilus jugularis",0
2013,"II","Pyura chilensis",0
2013,"II","Ruvettus pretiosus",0
2013,"II","Salilota australis",0
2013,"II","Salmo salar",0
2013,"II","Sardinops sagax",34
2013,"II","Scomber japonicus",103
2013,"II","Scophtalmus maximus",0
2013,"II","Semele solida",0
2013,"II","Seriola lalandi",0
2013,"II","Seriolella caerulea",0
2013,"II","Seriolella punctata",0
2013,"II","Strangomera bentincki",0
2013,"II","Tagelus dombeii",0
2013,"II","Taliepus marginatus",0
2013,"II","Tawera gayi",0
2013,"II","Thais chocolata",131
2013,"II","Thunnus obesus",0
2013,"II","Thyrsites atun",0
2013,"II","Trachurus murphyi",42
2013,"II","Venus antiqua",0
2013,"II","Xantochorus cassidiformis",0
2013,"II","Xiphias gladius",0
2013,"II","Zearaja chilensis",0
2013,"III","Argobuccinum spp.",0
2013,"III","Argopecten purpuratus",1942
2013,"III","Athyonidium chilensis",0
2013,"III","Aulacomya ater",0
2013,"III","Austromegabalanus psittacus",0
2013,"III","Brama australis",0
2013,"III","Callorhinchus callorhynchus",0
2013,"III","Cancer coronatus",0
2013,"III","Cancer edwardsi",0
2013,"III","Cancer porteri",0
2013,"III","Cancer setosus",25
2013,"III","Cervimunida johni",0
2013,"III","Chaceon chilensis",0
2013,"III","Cheilodactylus variegatus",6
2013,"III","Chlamys vitrea",0
2013,"III","Choromytilus chorus",0
2013,"III","Chorus giganteus",0
2013,"III","Cilus gilberti",0
2013,"III","Concholepas concholepas",17
2013,"III","Coryphaena hippurus",0
2013,"III","Dipturus trachyderma",0
2013,"III","Dissostichus eleginoides",0
2013,"III","Dosidicus gigas",1
2013,"III","Durvillaea antarctica",0
2013,"III","Eleginops maclovinus",0
2013,"III","Engraulis ringens",0
2013,"III","Ensis macha",0
2013,"III","Enteroctopus megalocyathus",0
2013,"III","Epigonus crassicaudus",0
2013,"III","Ethmidium maculatum",0
2013,"III","Fissurella latimarginata",85
2013,"III","Galaxias maculatus",0
2013,"III","Gari solida",0
2013,"III","Genypterus blacodes",0
2013,"III","Genypterus chilensis",12
2013,"III","Genypterus maculatus",0
2013,"III","Haliotis discus hannai",15
2013,"III","Haliotis rufescens",351
2013,"III","Haliporoides diomedeae",0
2013,"III","Helicolenus lengerichi",0
2013,"III","Heterocarpus reedi",0
2013,"III","Homalaspis plana",0
2013,"III","Isurus oxyrinchus",5
2013,"III","Lithodes santolla",0
2013,"III","Loxechinus albus",32
2013,"III","Macruronus magellanicus",0
2013,"III","Merluccius australis",0
2013,"III","Merluccius gayi gayi",0
2013,"III","Mesodesma donacium",0
2013,"III","Micromesistius australis",0
2013,"III","Mulinia edulis",0
2013,"III","Mustelus mento",0
2013,"III","Mytilus chilensis",0
2013,"III","Octopus (vulgaris) mimus",159
2013,"III","Odontesthes regia",0
2013,"III","Oncorhynchus kisutch",0
2013,"III","Oncorhynchus mykiss",0
2013,"III","Oncorhynchus tshawytscha",0
2013,"III","Ophichthus spp.",7
2013,"III","Ovalipes trimaculatus",0
2013,"III","Paralabrax humeralis",3
2013,"III","Paralomis granulosa",0
2013,"III","Pinguipes chilensis",4
2013,"III","Pleuroncodes monodon",0
2013,"III","Prionace glauca",0
2013,"III","Prolatilus jugularis",0
2013,"III","Pyura chilensis",0
2013,"III","Ruvettus pretiosus",0
2013,"III","Salilota australis",0
2013,"III","Salmo salar",0
2013,"III","Sardinops sagax",0
2013,"III","Scomber japonicus",0
2013,"III","Scophtalmus maximus",0
2013,"III","Semele solida",0
2013,"III","Seriola lalandi",0
2013,"III","Seriolella caerulea",0
2013,"III","Seriolella punctata",0
2013,"III","Strangomera bentincki",0
2013,"III","Tagelus dombeii",0
2013,"III","Taliepus marginatus",0
2013,"III","Tawera gayi",0
2013,"III","Thais chocolata",0
2013,"III","Thunnus obesus",0
2013,"III","Thyrsites atun",0
2013,"III","Trachurus murphyi",0
2013,"III","Venus antiqua",0
2013,"III","Xantochorus cassidiformis",0
2013,"III","Xiphias gladius",57
2013,"III","Zearaja chilensis",0
2013,"IV","Argobuccinum spp.",0
2013,"IV","Argopecten purpuratus",2851
2013,"IV","Athyonidium chilensis",0
2013,"IV","Aulacomya ater",0
2013,"IV","Austromegabalanus psittacus",0
2013,"IV","Brama australis",13
2013,"IV","Callorhinchus callorhynchus",0
2013,"IV","Cancer coronatus",0
2013,"IV","Cancer edwardsi",0
2013,"IV","Cancer porteri",0
2013,"IV","Cancer setosus",36
2013,"IV","Cervimunida johni",2373
2013,"IV","Chaceon chilensis",0
2013,"IV","Cheilodactylus variegatus",0
2013,"IV","Chlamys vitrea",0
2013,"IV","Choromytilus chorus",0
2013,"IV","Chorus giganteus",0
2013,"IV","Cilus gilberti",0
2013,"IV","Concholepas concholepas",560
2013,"IV","Coryphaena hippurus",1
2013,"IV","Dipturus trachyderma",0
2013,"IV","Dissostichus eleginoides",0
2013,"IV","Dosidicus gigas",30706
2013,"IV","Durvillaea antarctica",0
2013,"IV","Eleginops maclovinus",0
2013,"IV","Engraulis ringens",0
2013,"IV","Ensis macha",0
2013,"IV","Enteroctopus megalocyathus",0
2013,"IV","Epigonus crassicaudus",0
2013,"IV","Ethmidium maculatum",0
2013,"IV","Fissurella latimarginata",252
2013,"IV","Galaxias maculatus",0
2013,"IV","Gari solida",1
2013,"IV","Genypterus blacodes",1
2013,"IV","Genypterus chilensis",4
2013,"IV","Genypterus maculatus",0
2013,"IV","Haliotis discus hannai",0
2013,"IV","Haliotis rufescens",90
2013,"IV","Haliporoides diomedeae",16
2013,"IV","Helicolenus lengerichi",0
2013,"IV","Heterocarpus reedi",2415
2013,"IV","Homalaspis plana",0
2013,"IV","Isurus oxyrinchus",43
2013,"IV","Lithodes santolla",0
2013,"IV","Loxechinus albus",0
2013,"IV","Macruronus magellanicus",0
2013,"IV","Merluccius australis",0
2013,"IV","Merluccius gayi gayi",11
2013,"IV","Mesodesma donacium",137
2013,"IV","Micromesistius australis",0
2013,"IV","Mulinia edulis",0
2013,"IV","Mustelus mento",0
2013,"IV","Mytilus chilensis",0
2013,"IV","Octopus (vulgaris) mimus",0
2013,"IV","Odontesthes regia",0
2013,"IV","Oncorhynchus kisutch",0
2013,"IV","Oncorhynchus mykiss",0
2013,"IV","Oncorhynchus tshawytscha",0
2013,"IV","Ophichthus spp.",0
2013,"IV","Ovalipes trimaculatus",3
2013,"IV","Paralabrax humeralis",0
2013,"IV","Paralomis granulosa",0
2013,"IV","Pinguipes chilensis",0
2013,"IV","Pleuroncodes monodon",2398
2013,"IV","Prionace glauca",46
2013,"IV","Prolatilus jugularis",6
2013,"IV","Pyura chilensis",1
2013,"IV","Ruvettus pretiosus",12
2013,"IV","Salilota australis",0
2013,"IV","Salmo salar",0
2013,"IV","Sardinops sagax",0
2013,"IV","Scomber japonicus",200
2013,"IV","Scophtalmus maximus",0
2013,"IV","Semele solida",0
2013,"IV","Seriola lalandi",0
2013,"IV","Seriolella caerulea",0
2013,"IV","Seriolella punctata",0
2013,"IV","Strangomera bentincki",0
2013,"IV","Tagelus dombeii",0
2013,"IV","Taliepus marginatus",0
2013,"IV","Tawera gayi",0
2013,"IV","Thais chocolata",58
2013,"IV","Thunnus obesus",1
2013,"IV","Thyrsites atun",0
2013,"IV","Trachurus murphyi",14102
2013,"IV","Venus antiqua",0
2013,"IV","Xantochorus cassidiformis",0
2013,"IV","Xiphias gladius",831
2013,"IV","Zearaja chilensis",0
2013,"IX","Argobuccinum spp.",0
2013,"IX","Argopecten purpuratus",0
2013,"IX","Athyonidium chilensis",0
2013,"IX","Aulacomya ater",0
2013,"IX","Austromegabalanus psittacus",0
2013,"IX","Brama australis",0
2013,"IX","Callorhinchus callorhynchus",0
2013,"IX","Cancer coronatus",0
2013,"IX","Cancer edwardsi",0
2013,"IX","Cancer porteri",0
2013,"IX","Cancer setosus",0
2013,"IX","Cervimunida johni",0
2013,"IX","Chaceon chilensis",0
2013,"IX","Cheilodactylus variegatus",0
2013,"IX","Chlamys vitrea",0
2013,"IX","Choromytilus chorus",0
2013,"IX","Chorus giganteus",0
2013,"IX","Cilus gilberti",0
2013,"IX","Concholepas concholepas",0
2013,"IX","Coryphaena hippurus",0
2013,"IX","Dipturus trachyderma",0
2013,"IX","Dissostichus eleginoides",0
2013,"IX","Dosidicus gigas",0
2013,"IX","Durvillaea antarctica",0
2013,"IX","Eleginops maclovinus",0
2013,"IX","Engraulis ringens",0
2013,"IX","Ensis macha",0
2013,"IX","Enteroctopus megalocyathus",0
2013,"IX","Epigonus crassicaudus",0
2013,"IX","Ethmidium maculatum",0
2013,"IX","Fissurella latimarginata",0
2013,"IX","Galaxias maculatus",0
2013,"IX","Gari solida",0
2013,"IX","Genypterus blacodes",0
2013,"IX","Genypterus chilensis",0
2013,"IX","Genypterus maculatus",0
2013,"IX","Haliotis discus hannai",0
2013,"IX","Haliotis rufescens",0
2013,"IX","Haliporoides diomedeae",0
2013,"IX","Helicolenus lengerichi",0
2013,"IX","Heterocarpus reedi",0
2013,"IX","Homalaspis plana",0
2013,"IX","Isurus oxyrinchus",0
2013,"IX","Lithodes santolla",0
2013,"IX","Loxechinus albus",0
2013,"IX","Macruronus magellanicus",0
2013,"IX","Merluccius australis",0
2013,"IX","Merluccius gayi gayi",0
2013,"IX","Mesodesma donacium",0
2013,"IX","Micromesistius australis",0
2013,"IX","Mulinia edulis",0
2013,"IX","Mustelus mento",0
2013,"IX","Mytilus chilensis",0
2013,"IX","Octopus (vulgaris) mimus",0
2013,"IX","Odontesthes regia",0
2013,"IX","Oncorhynchus kisutch",2
2013,"IX","Oncorhynchus mykiss",43
2013,"IX","Oncorhynchus tshawytscha",0
2013,"IX","Ophichthus spp.",0
2013,"IX","Ovalipes trimaculatus",0
2013,"IX","Paralabrax humeralis",0
2013,"IX","Paralomis granulosa",0
2013,"IX","Pinguipes chilensis",0
2013,"IX","Pleuroncodes monodon",0
2013,"IX","Prionace glauca",0
2013,"IX","Prolatilus jugularis",0
2013,"IX","Pyura chilensis",0
2013,"IX","Ruvettus pretiosus",0
2013,"IX","Salilota australis",0
2013,"IX","Salmo salar",45
2013,"IX","Sardinops sagax",0
2013,"IX","Scomber japonicus",0
2013,"IX","Scophtalmus maximus",0
2013,"IX","Semele solida",0
2013,"IX","Seriola lalandi",0
2013,"IX","Seriolella caerulea",0
2013,"IX","Seriolella punctata",0
2013,"IX","Strangomera bentincki",0
2013,"IX","Tagelus dombeii",0
2013,"IX","Taliepus marginatus",0
2013,"IX","Tawera gayi",0
2013,"IX","Thais chocolata",0
2013,"IX","Thunnus obesus",0
2013,"IX","Thyrsites atun",0
2013,"IX","Trachurus murphyi",0
2013,"IX","Venus antiqua",0
2013,"IX","Xantochorus cassidiformis",0
2013,"IX","Xiphias gladius",0
2013,"IX","Zearaja chilensis",0
2013,"RM","Argobuccinum spp.",0
2013,"RM","Argopecten purpuratus",0
2013,"RM","Athyonidium chilensis",0
2013,"RM","Aulacomya ater",0
2013,"RM","Austromegabalanus psittacus",0
2013,"RM","Brama australis",626
2013,"RM","Callorhinchus callorhynchus",26
2013,"RM","Cancer coronatus",0
2013,"RM","Cancer edwardsi",0
2013,"RM","Cancer porteri",0
2013,"RM","Cancer setosus",0
2013,"RM","Cervimunida johni",0
2013,"RM","Chaceon chilensis",0
2013,"RM","Cheilodactylus variegatus",0
2013,"RM","Chlamys vitrea",0
2013,"RM","Choromytilus chorus",0
2013,"RM","Chorus giganteus",0
2013,"RM","Cilus gilberti",68
2013,"RM","Concholepas concholepas",0
2013,"RM","Coryphaena hippurus",0
2013,"RM","Dipturus trachyderma",0
2013,"RM","Dissostichus eleginoides",777
2013,"RM","Dosidicus gigas",407
2013,"RM","Durvillaea antarctica",0
2013,"RM","Eleginops maclovinus",8
2013,"RM","Engraulis ringens",0
2013,"RM","Ensis macha",0
2013,"RM","Enteroctopus megalocyathus",0
2013,"RM","Epigonus crassicaudus",0
2013,"RM","Ethmidium maculatum",0
2013,"RM","Fissurella latimarginata",0
2013,"RM","Galaxias maculatus",0
2013,"RM","Gari solida",0
2013,"RM","Genypterus blacodes",49
2013,"RM","Genypterus chilensis",6
2013,"RM","Genypterus maculatus",12
2013,"RM","Haliotis discus hannai",0
2013,"RM","Haliotis rufescens",0
2013,"RM","Haliporoides diomedeae",0
2013,"RM","Helicolenus lengerichi",0
2013,"RM","Heterocarpus reedi",0
2013,"RM","Homalaspis plana",0
2013,"RM","Isurus oxyrinchus",0
2013,"RM","Lithodes santolla",0
2013,"RM","Loxechinus albus",0
2013,"RM","Macruronus magellanicus",0
2013,"RM","Merluccius australis",100
2013,"RM","Merluccius gayi gayi",296
2013,"RM","Mesodesma donacium",0
2013,"RM","Micromesistius australis",0
2013,"RM","Mulinia edulis",0
2013,"RM","Mustelus mento",4
2013,"RM","Mytilus chilensis",0
2013,"RM","Octopus (vulgaris) mimus",0
2013,"RM","Odontesthes regia",0
2013,"RM","Oncorhynchus kisutch",0
2013,"RM","Oncorhynchus mykiss",7
2013,"RM","Oncorhynchus tshawytscha",0
2013,"RM","Ophichthus spp.",0
2013,"RM","Ovalipes trimaculatus",0
2013,"RM","Paralabrax humeralis",0
2013,"RM","Paralomis granulosa",0
2013,"RM","Pinguipes chilensis",0
2013,"RM","Pleuroncodes monodon",0
2013,"RM","Prionace glauca",0
2013,"RM","Prolatilus jugularis",0
2013,"RM","Pyura chilensis",0
2013,"RM","Ruvettus pretiosus",0
2013,"RM","Salilota australis",0
2013,"RM","Salmo salar",11
2013,"RM","Sardinops sagax",0
2013,"RM","Scomber japonicus",0
2013,"RM","Scophtalmus maximus",0
2013,"RM","Semele solida",0
2013,"RM","Seriola lalandi",0
2013,"RM","Seriolella caerulea",0
2013,"RM","Seriolella punctata",0
2013,"RM","Strangomera bentincki",0
2013,"RM","Tagelus dombeii",0
2013,"RM","Taliepus marginatus",0
2013,"RM","Tawera gayi",0
2013,"RM","Thais chocolata",0
2013,"RM","Thunnus obesus",0
2013,"RM","Thyrsites atun",0
2013,"RM","Trachurus murphyi",0
2013,"RM","Venus antiqua",0
2013,"RM","Xantochorus cassidiformis",0
2013,"RM","Xiphias gladius",1102
2013,"RM","Zearaja chilensis",0
2013,"V","Argobuccinum spp.",0
2013,"V","Argopecten purpuratus",0
2013,"V","Athyonidium chilensis",0
2013,"V","Aulacomya ater",0
2013,"V","Austromegabalanus psittacus",0
2013,"V","Brama australis",85
2013,"V","Callorhinchus callorhynchus",1
2013,"V","Cancer coronatus",0
2013,"V","Cancer edwardsi",81
2013,"V","Cancer porteri",3
2013,"V","Cancer setosus",0
2013,"V","Cervimunida johni",82
2013,"V","Chaceon chilensis",2
2013,"V","Cheilodactylus variegatus",1
2013,"V","Chlamys vitrea",0
2013,"V","Choromytilus chorus",0
2013,"V","Chorus giganteus",0
2013,"V","Cilus gilberti",10
2013,"V","Concholepas concholepas",14
2013,"V","Coryphaena hippurus",1
2013,"V","Dipturus trachyderma",0
2013,"V","Dissostichus eleginoides",47
2013,"V","Dosidicus gigas",42676
2013,"V","Durvillaea antarctica",0
2013,"V","Eleginops maclovinus",1
2013,"V","Engraulis ringens",0
2013,"V","Ensis macha",0
2013,"V","Enteroctopus megalocyathus",0
2013,"V","Epigonus crassicaudus",0
2013,"V","Ethmidium maculatum",8
2013,"V","Fissurella latimarginata",2
2013,"V","Galaxias maculatus",0
2013,"V","Gari solida",0
2013,"V","Genypterus blacodes",7
2013,"V","Genypterus chilensis",0
2013,"V","Genypterus maculatus",0
2013,"V","Haliotis discus hannai",0
2013,"V","Haliotis rufescens",116
2013,"V","Haliporoides diomedeae",69
2013,"V","Helicolenus lengerichi",0
2013,"V","Heterocarpus reedi",1511
2013,"V","Homalaspis plana",0
2013,"V","Isurus oxyrinchus",0
2013,"V","Lithodes santolla",0
2013,"V","Loxechinus albus",0
2013,"V","Macruronus magellanicus",0
2013,"V","Merluccius australis",0
2013,"V","Merluccius gayi gayi",3
2013,"V","Mesodesma donacium",0
2013,"V","Micromesistius australis",0
2013,"V","Mulinia edulis",0
2013,"V","Mustelus mento",0
2013,"V","Mytilus chilensis",0
2013,"V","Octopus (vulgaris) mimus",0
2013,"V","Odontesthes regia",0
2013,"V","Oncorhynchus kisutch",0
2013,"V","Oncorhynchus mykiss",0
2013,"V","Oncorhynchus tshawytscha",0
2013,"V","Ophichthus spp.",2
2013,"V","Ovalipes trimaculatus",0
2013,"V","Paralabrax humeralis",2
2013,"V","Paralomis granulosa",0
2013,"V","Pinguipes chilensis",0
2013,"V","Pleuroncodes monodon",0
2013,"V","Prionace glauca",0
2013,"V","Prolatilus jugularis",0
2013,"V","Pyura chilensis",0
2013,"V","Ruvettus pretiosus",0
2013,"V","Salilota australis",0
2013,"V","Salmo salar",0
2013,"V","Sardinops sagax",0
2013,"V","Scomber japonicus",1
2013,"V","Scophtalmus maximus",105
2013,"V","Semele solida",0
2013,"V","Seriola lalandi",2
2013,"V","Seriolella caerulea",0
2013,"V","Seriolella punctata",0
2013,"V","Strangomera bentincki",0
2013,"V","Tagelus dombeii",0
2013,"V","Taliepus marginatus",0
2013,"V","Tawera gayi",0
2013,"V","Thais chocolata",0
2013,"V","Thunnus obesus",0
2013,"V","Thyrsites atun",2
2013,"V","Trachurus murphyi",5
2013,"V","Venus antiqua",0
2013,"V","Xantochorus cassidiformis",0
2013,"V","Xiphias gladius",67
2013,"V","Zearaja chilensis",0
2013,"VI","Argobuccinum spp.",0
2013,"VI","Argopecten purpuratus",0
2013,"VI","Athyonidium chilensis",0
2013,"VI","Aulacomya ater",0
2013,"VI","Austromegabalanus psittacus",0
2013,"VI","Brama australis",3
2013,"VI","Callorhinchus callorhynchus",0
2013,"VI","Cancer coronatus",0
2013,"VI","Cancer edwardsi",0
2013,"VI","Cancer porteri",0
2013,"VI","Cancer setosus",0
2013,"VI","Cervimunida johni",0
2013,"VI","Chaceon chilensis",0
2013,"VI","Cheilodactylus variegatus",0
2013,"VI","Chlamys vitrea",0
2013,"VI","Choromytilus chorus",0
2013,"VI","Chorus giganteus",0
2013,"VI","Cilus gilberti",0
2013,"VI","Concholepas concholepas",0
2013,"VI","Coryphaena hippurus",0
2013,"VI","Dipturus trachyderma",0
2013,"VI","Dissostichus eleginoides",0
2013,"VI","Dosidicus gigas",0
2013,"VI","Durvillaea antarctica",0
2013,"VI","Eleginops maclovinus",0
2013,"VI","Engraulis ringens",0
2013,"VI","Ensis macha",0
2013,"VI","Enteroctopus megalocyathus",0
2013,"VI","Epigonus crassicaudus",0
2013,"VI","Ethmidium maculatum",0
2013,"VI","Fissurella latimarginata",0
2013,"VI","Galaxias maculatus",0
2013,"VI","Gari solida",0
2013,"VI","Genypterus blacodes",0
2013,"VI","Genypterus chilensis",0
2013,"VI","Genypterus maculatus",0
2013,"VI","Haliotis discus hannai",0
2013,"VI","Haliotis rufescens",0
2013,"VI","Haliporoides diomedeae",0
2013,"VI","Helicolenus lengerichi",0
2013,"VI","Heterocarpus reedi",0
2013,"VI","Homalaspis plana",0
2013,"VI","Isurus oxyrinchus",0
2013,"VI","Lithodes santolla",0
2013,"VI","Loxechinus albus",0
2013,"VI","Macruronus magellanicus",0
2013,"VI","Merluccius australis",0
2013,"VI","Merluccius gayi gayi",0
2013,"VI","Mesodesma donacium",0
2013,"VI","Micromesistius australis",0
2013,"VI","Mulinia edulis",0
2013,"VI","Mustelus mento",0
2013,"VI","Mytilus chilensis",0
2013,"VI","Octopus (vulgaris) mimus",0
2013,"VI","Odontesthes regia",0
2013,"VI","Oncorhynchus kisutch",0
2013,"VI","Oncorhynchus mykiss",0
2013,"VI","Oncorhynchus tshawytscha",0
2013,"VI","Ophichthus spp.",0
2013,"VI","Ovalipes trimaculatus",0
2013,"VI","Paralabrax humeralis",0
2013,"VI","Paralomis granulosa",0
2013,"VI","Pinguipes chilensis",0
2013,"VI","Pleuroncodes monodon",0
2013,"VI","Prionace glauca",0
2013,"VI","Prolatilus jugularis",0
2013,"VI","Pyura chilensis",0
2013,"VI","Ruvettus pretiosus",0
2013,"VI","Salilota australis",0
2013,"VI","Salmo salar",0
2013,"VI","Sardinops sagax",0
2013,"VI","Scomber japonicus",0
2013,"VI","Scophtalmus maximus",0
2013,"VI","Semele solida",0
2013,"VI","Seriola lalandi",0
2013,"VI","Seriolella caerulea",0
2013,"VI","Seriolella punctata",0
2013,"VI","Strangomera bentincki",0
2013,"VI","Tagelus dombeii",0
2013,"VI","Taliepus marginatus",0
2013,"VI","Tawera gayi",0
2013,"VI","Thais chocolata",0
2013,"VI","Thunnus obesus",0
2013,"VI","Thyrsites atun",0
2013,"VI","Trachurus murphyi",0
2013,"VI","Venus antiqua",0
2013,"VI","Xantochorus cassidiformis",0
2013,"VI","Xiphias gladius",0
2013,"VI","Zearaja chilensis",0
2013,"VII","Argobuccinum spp.",0
2013,"VII","Argopecten purpuratus",0
2013,"VII","Athyonidium chilensis",0
2013,"VII","Aulacomya ater",0
2013,"VII","Austromegabalanus psittacus",0
2013,"VII","Brama australis",11
2013,"VII","Callorhinchus callorhynchus",0
2013,"VII","Cancer coronatus",0
2013,"VII","Cancer edwardsi",0
2013,"VII","Cancer porteri",0
2013,"VII","Cancer setosus",0
2013,"VII","Cervimunida johni",0
2013,"VII","Chaceon chilensis",0
2013,"VII","Cheilodactylus variegatus",0
2013,"VII","Chlamys vitrea",0
2013,"VII","Choromytilus chorus",0
2013,"VII","Chorus giganteus",0
2013,"VII","Cilus gilberti",0
2013,"VII","Concholepas concholepas",0
2013,"VII","Coryphaena hippurus",0
2013,"VII","Dipturus trachyderma",0
2013,"VII","Dissostichus eleginoides",0
2013,"VII","Dosidicus gigas",0
2013,"VII","Durvillaea antarctica",0
2013,"VII","Eleginops maclovinus",0
2013,"VII","Engraulis ringens",0
2013,"VII","Ensis macha",0
2013,"VII","Enteroctopus megalocyathus",0
2013,"VII","Epigonus crassicaudus",0
2013,"VII","Ethmidium maculatum",0
2013,"VII","Fissurella latimarginata",0
2013,"VII","Galaxias maculatus",0
2013,"VII","Gari solida",0
2013,"VII","Genypterus blacodes",0
2013,"VII","Genypterus chilensis",0
2013,"VII","Genypterus maculatus",0
